"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2143","Check displaying of dashboard page","LMS system","2026-07-24","passed","2026-07-24","Dashboard","Dashboard","",""
"","3455","User login with correct email and password","LMS system","2026-07-24","passed","2026-07-24","Authorization","Authentication","",""
"","1689","Navigation from login page to registration page","LMS system","2026-07-24","passed","2026-07-24","Authorization","Authentication","",""
"","3729","Edit course","LMS system","2026-07-24","passed","2026-07-24","Courses","Courses","",""
"","2009","User login with wrong email or password","LMS system","2026-07-24","passed","2026-07-24","Authorization","Authentication","",""
"","1743","User login with wrong email or password","LMS system","2026-07-24","passed","2026-07-24","Authorization","Authentication","",""
"","2563","Create course","LMS system","2026-07-24","passed","2026-07-24","Courses","Courses","",""
"","1700","Check displaying of empty courses list","LMS system","2026-07-24","passed","2026-07-24","Courses","Courses","",""
"","1994","User login with wrong email or password","LMS system","2026-07-24","passed","2026-07-24","Authorization","Authentication","",""
"","2307","Registration with correct email, username and password","LMS system","2026-07-24","passed","2026-07-24","Registration","Authentication","",""
